id,gender,age,study_level,prfinal1,prfinal2,prfinal3,prfinal4,prfinal5,prfinal6,prfinal7,prfinal8,prfinal9,prfinal10,prfinal11,prfinal12,prfinal13,ended,start_capital,end_capital,partida_id,prfinal14,prfinal15,winnings
162,d,27,r6,r1,r1,r2,r2,r2,r2,r1,r2,r3,r2,r3,r3,r2,1,40,21,27,r1,r3,21
163,h,27,r5,r1,r1,r2,r3,r3,r1,r2,r3,r2,r2,r3,r3,r2,1,40,18,27,r3,r4,18
164,h,52,r6,r1,r4,r1,r3,r3,r3,r1,r2,r1,r2,r1,r3,r2,1,40,4,28,r1,r1,4
165,h,28,r4,r2,r1,r1,r1,r2,r1,r1,r2,r2,r2,r3,r2,r2,1,50,37,28,r1,r3,37
166,d,28,r6,r1,r2,r2,r3,r3,r3,r1,r1,r1,r2,r3,r3,r2,1,30,10,28,r1,r2,10
167,h,28,r6,r1,r1,r2,r2,r2,r3,r1,r2,r1,r2,r3,r3,r2,1,60,34,28,r1,r4,34
168,d,44,r6,r1,r1,r1,r3,r3,r3,r1,r1,r1,r2,r3,r3,r2,1,20,6,28,r1,r3,6
169,d,28,r6,r1,r1,r1,r2,r4,r3,r1,r3,r2,r2,r3,r4,r2,1,20,0,29,r1,r4,0
170,h,26,r6,r1,r2,r2,r3,r3,r1,r1,r1,r1,r2,r4,r3,r2,1,40,22,28,r3,r4,22
171,d,33,r6,r1,r1,r1,r2,r2,r2,r1,r1,r3,r2,r3,r3,r2,1,40,26,29,r1,r3,26
172,h,22,r4,r1,r2,r2,r3,r3,r1,r1,r1,r2,r2,r3,r4,r2,1,40,18,29,r2,r4,18
173,h,26,r6,r1,r2,r2,r2,r3,r2,r1,r2,r1,r2,r3,r3,r2,1,50,25,29,r2,r2,25
174,d,24,r6,r1,r2,r2,r3,r3,r2,r2,r3,r2,r2,r3,r3,r2,1,30,17,29,r1,r4,17
175,d,46,r6,r3,r1,r2,r3,r3,r2,r2,r2,r2,r2,r3,r3,r2,1,60,30,29,r1,r2,30
176,d,28,r4,r1,r1,r4,r3,r3,r2,r2,r1,r1,r2,r4,r1,r4,1,40,10,30,r1,r3,10
177,h,25,r6,r1,r1,r1,r2,r2,r3,r2,r2,r2,r2,r3,r3,r2,1,40,26,30,r1,r4,26
178,d,42,r6,r1,r1,r2,r3,r3,r1,r2,r2,r1,r2,r3,r3,r2,1,40,18,30,r1,r4,18
179,h,25,r6,,,,,,,,,,,,,NULL,0,40,18,30,NULL,NULL,18
180,d,20,r4,r1,r2,r2,r3,r3,r1,r1,r1,r2,r1,r3,r3,r2,1,50,12,31,r1,r3,12
181,h,20,r5,r1,r1,r2,r3,r3,r1,r1,r3,r1,r2,r3,r3,r2,1,40,20,30,r1,r3,20
182,h,41,r5,r1,r2,r2,r2,r2,r1,r1,r1,r1,r2,r3,r3,r2,1,40,16,30,r1,r4,16
183,h,37,r5,r1,r3,r1,r2,r2,r2,r1,r1,r1,r2,r4,r3,r3,1,20,8,31,r1,r4,8
184,d,45,r6,r1,r2,r3,r3,r3,r1,r1,r1,r2,r2,r1,r1,r2,1,40,24,31,r1,r3,24
185,d,12,r3,r1,r1,r1,r3,r3,r3,r3,r1,r1,r2,r3,r3,r2,1,40,28,32,r2,r3,28
186,d,47,r6,r1,r2,r2,r2,r3,r1,r1,r1,r1,r2,r1,r3,r2,1,40,14,31,r1,r2,14
187,h,50,r5,r1,r1,r1,r3,r3,r2,r2,r2,r2,r2,r3,r3,r1,1,60,34,31,r1,r1,34
188,d,12,r3,r1,r2,r2,r3,r3,r3,r1,r3,r1,r2,r3,r3,r3,1,30,14,31,r2,r4,14
189,d,20,r6,r1,r1,r2,r2,r3,r1,r1,r1,r2,r2,r3,r2,r2,1,40,8,32,r3,r3,8
190,d,22,r4,r1,r1,r2,r3,r3,r1,r1,r3,r1,r2,r3,r3,r2,1,40,18,32,r1,r3,18
191,d,21,r4,r1,r3,r1,r3,r3,r1,r1,r3,r1,r2,r3,r3,r2,1,40,16,32,r1,r2,16
192,d,72,r4,r1,r2,r2,r2,r2,r3,r3,r2,r2,r2,r3,r3,r2,1,40,20,32,r4,r3,20
193,h,73,r5,r1,r1,r2,r3,r3,r3,r1,r1,r3,r2,r3,r3,r2,1,40,18,32,r3,r2,18
194,h,56,r4,r1,r2,r3,r2,r2,r3,r1,r2,r1,r2,r3,r3,r2,1,30,10,33,r2,r3,10
195,d,30,r6,r1,r1,r1,r2,r2,r1,r1,r1,r1,r2,r3,r3,r2,1,50,24,33,r1,r3,24
196,h,33,r6,r1,r1,r2,r1,r2,r1,r1,r3,r2,r2,r1,r3,r2,1,40,30,33,r1,r4,30
197,d,54,r6,r3,r1,r1,r3,r3,r1,r1,r1,r1,r2,r3,r3,r2,1,40,22,34,r3,r3,22
198,h,70,r5,r3,r1,r2,r3,r3,r3,r2,r1,r1,r2,r3,r3,r2,1,40,18,34,r1,r1,18
199,h,40,r6,r3,r1,r2,r3,r3,r1,r1,r2,r2,r2,r3,r3,r2,1,40,30,33,r2,r3,30
200,d,39,r6,r3,r2,r4,r3,r3,r1,r1,r2,r1,r2,r1,r3,r2,1,60,20,33,r1,r3,20
201,h,67,r5,r3,r1,r2,r4,r4,r1,r1,r1,r1,r2,r3,r3,r4,1,40,12,34,r1,r1,12
202,h,24,r5,r1,r2,r2,r3,r3,r1,r1,r1,r2,r2,r3,r4,r2,1,40,22,34,r2,r3,22
203,d,28,r6,r1,r3,r1,r3,r3,r1,r1,r1,r2,r2,r1,r3,r2,1,20,2,33,r3,r2,2
204,d,54,r6,r1,r1,r2,r2,r2,r2,r3,r1,r2,r1,r4,r3,r2,1,40,24,34,r2,r1,24
205,h,13,r2,r3,r1,r1,r2,r3,r1,r1,r1,r1,r1,r3,r3,r1,1,40,12,34,r1,r4,12
206,d,27,r6,r1,r2,r2,r3,r3,r3,r2,r1,r1,r2,r1,r3,r2,1,60,26,35,r1,r3,26
207,h,26,r6,r1,r2,r1,r2,r2,r1,r1,r2,r1,r2,r1,r3,r2,1,30,24,35,r2,r4,24
208,h,26,r4,r1,r2,r1,r3,r3,r1,r1,r2,r2,r2,r3,r3,r2,1,40,26,35,r1,r4,26
209,h,25,r6,r1,r2,r1,r3,r3,r1,r2,r2,r3,r2,r3,r3,r2,1,50,12,35,r1,r2,12
210,d,13,r3,r1,r1,r2,r3,r3,r3,r2,r3,r3,r1,r4,r3,r2,1,40,18,36,r2,r2,18
211,d,12,r2,r1,r1,r2,r3,r1,r1,r2,r3,r1,r2,r4,r2,r1,1,40,18,36,r3,r2,18
212,h,15,r2,r1,r1,r2,r3,r3,r3,r1,r1,r1,r2,r4,r3,r4,1,40,24,35,r3,r4,24
213,d,35,r3,r1,r1,r2,r3,r3,r2,r2,r3,r1,r2,r1,r3,r2,1,20,2,35,r2,r2,2
214,d,24,r7,r1,r1,r2,r1,r3,r3,r1,r2,r2,r2,r3,r3,r2,1,40,24,36,r1,r2,24
215,h,16,r3,r1,r1,r1,r3,r3,r1,r1,r2,r1,r2,r3,r3,r2,1,40,20,36,r1,r2,20
216,h,29,r6,r1,r2,r2,r2,r1,r1,r2,r1,r1,r2,r3,r1,r2,1,40,12,36,r2,r3,12
217,h,29,r6,r1,r1,r2,r3,r1,r1,r1,r3,r2,r2,r4,r1,r3,1,40,22,36,r3,r2,22
218,d,59,r6,r1,r1,r2,r3,r3,r2,r1,r1,r1,r2,r3,r3,r2,1,60,36,37,r2,r3,36
219,d,29,r6,r1,r1,r1,r3,r3,r3,r1,r3,r3,r2,r1,r3,r2,1,20,6,37,r1,r2,6
220,h,55,r4,r1,r2,r2,r3,r3,r3,r1,r1,r1,r2,r3,r3,r2,1,40,22,37,r1,r2,22
221,d,18,r5,r1,r1,r4,r3,r3,r2,r2,r1,r2,r2,r3,r3,r2,1,40,16,37,r2,r3,16
222,d,53,r4,r1,r1,r2,r1,r2,r3,r1,r1,r3,r2,r3,r3,r2,1,30,16,37,r2,r1,16
223,h,53,r5,r1,r2,r2,r2,r3,r3,r1,r1,r2,r2,r3,r3,r2,1,40,18,38,r2,r2,18
224,d,51,r5,r1,r1,r4,r3,r3,r3,r3,r1,r1,r2,r3,r3,r2,1,50,20,37,r2,r3,20
225,h,12,r2,r2,r2,r2,r2,r2,r1,r1,r2,r3,r2,r3,r1,r2,1,40,6,38,r2,r4,6
226,h,40,r4,r3,r2,r1,r2,r2,r1,r1,r1,r3,r2,r3,r3,r2,1,40,30,38,r1,r2,30
227,h,29,r6,r1,r2,r1,r3,r3,r1,r1,r2,r1,r2,r3,r3,r2,1,40,24,38,r1,r3,24
228,d,34,r5,r2,r1,r2,r3,r3,r2,r2,r2,r2,r2,r3,r2,r2,1,50,30,39,r2,r1,30
229,h,35,r6,r1,r2,r1,r2,r2,r1,r1,r2,r1,r2,r1,r3,r2,1,40,22,38,r1,r4,22
230,h,35,r6,r1,r2,r1,r3,r1,r3,r3,r3,r3,r2,r3,r3,r2,1,20,16,39,r1,r3,16
231,,,,,,,,,,,,,,,,,,,,,,,
232,h,66,r6,r1,r2,r2,r2,r3,r3,r2,r2,r2,r2,r3,r3,r1,1,60,22,39,r3,r2,22
233,d,36,r6,r1,r2,r1,r2,r3,r1,r1,r2,r1,r2,r1,r3,r2,1,40,8,39,r1,r3,8
234,d,40,r4,r1,r2,r2,r2,r2,r2,r2,r2,r2,r2,r3,r3,r1,1,40,24,40,r3,r3,24
235,h,11,r1,r3,r2,r2,r2,r2,r3,r3,r1,r3,r2,r1,r3,r1,1,40,18,40,r2,r2,18
236,h,11,r2,r1,r1,r1,r3,r1,r3,r1,r1,r1,r2,r1,r3,r2,1,30,0,39,r3,r3,0
237,h,12,r3,r1,r2,r1,r2,r4,r1,r1,r3,r1,r2,r3,r3,r2,1,40,24,39,r1,r3,24
238,h,43,r6,r1,r1,r1,r3,r3,r2,r1,r2,r1,r2,r1,r3,r2,1,40,22,40,r1,r4,22
239,d,41,r6,r1,r2,r1,r2,r3,r1,r1,r1,r1,r2,r3,r3,r2,1,40,12,40,r1,r3,12
240,h,11,r2,r1,r1,r2,r3,r3,r3,r2,r1,r2,r4,r3,r3,r4,1,40,8,40,r2,r1,8
241,,,,,,,,,,,,,,,,,,,,,,,
242,h,32,r5,r1,r1,r1,r2,r3,r1,r3,r1,r2,r2,r3,r3,r2,1,30,0,41,r4,r2,0
243,h,38,r2,r1,r2,r2,r3,r3,r3,r1,r1,r3,r2,r3,r3,r2,1,40,14,41,r1,r3,14
244,h,24,r5,r1,r1,r1,r2,r1,r3,r1,r2,r2,r2,r3,r3,r2,1,60,30,41,r3,r4,30
245,h,39,r6,r1,r1,r1,r3,r3,r3,r1,r2,r1,r2,r3,r3,r2,1,20,8,41,r1,r4,8
246,d,38,r3,r1,r1,r3,r1,r3,r3,r1,r1,r1,r2,r4,r3,r2,1,50,24,41,r1,r4,24
247,h,45,r3,r1,r2,r4,r2,r2,r3,r1,r3,r2,r2,r3,r3,r2,1,40,28,41,r3,r3,28
248,h,37,r6,r3,r1,r4,r2,r2,r1,r2,r1,r2,r2,r3,r3,r2,1,40,28,42,r1,r3,28
249,h,12,r2,r1,r1,r4,r1,r3,r1,r3,r3,r2,r2,r4,r3,r1,1,40,8,42,r4,r4,8
250,h,47,r6,r1,r1,r1,r3,r3,r1,r1,r1,r1,r2,r3,r3,r2,1,40,24,42,r1,r2,24
251,h,12,r2,r1,r1,r3,r2,r1,r1,r2,r1,r1,r2,r4,r4,r1,1,40,10,42,r3,r4,10
252,d,41,r6,r1,r2,r1,r3,r3,r1,r1,r2,r2,r3,r3,r3,r2,1,20,10,43,r2,r4,10
253,d,12,r2,r1,r1,r1,r1,r1,r3,r1,r3,r2,r2,r3,r3,r2,1,40,22,42,r2,r3,22
254,d,12,r2,r1,r1,r2,r3,r3,r1,r1,r3,r2,r2,r3,r1,r1,1,40,20,43,r1,r3,20
255,h,12,r2,r1,r1,r2,r4,r1,r1,r1,r1,r1,r2,r3,r3,r3,1,40,20,42,r3,r3,20
256,d,48,r5,r1,r2,r1,r3,r3,r3,r3,r1,r3,r2,r3,r3,r2,1,30,0,43,r2,r3,0
257,d,26,r6,r1,r2,r1,r3,r3,r3,r3,r2,r2,r2,r1,r3,r2,1,50,28,43,r1,r3,28
258,h,42,r5,r1,r1,r2,r2,r2,r2,r1,r2,r1,r1,r4,r3,r2,1,60,44,43,r2,r3,44
259,h,43,r4,r1,r1,r2,r3,r3,r3,r1,r1,r1,r1,r3,r3,r1,1,40,18,43,r4,r4,18
260,h,45,r6,r1,r3,r2,r4,r4,r1,r1,r1,r2,r2,r1,r3,r2,1,40,20,44,r2,r4,20
261,h,13,r2,r1,r2,r2,r4,r3,r1,r3,r3,r3,r2,r3,r3,r2,1,40,18,44,r2,r4,18
262,d,40,r3,r1,r1,r1,r1,r1,r1,r1,r2,r2,r2,r3,r3,r2,1,40,22,44,r1,r3,22
263,d,12,r2,r2,r1,r1,r3,r3,r2,r3,r1,r1,r1,r1,r3,r2,1,40,20,44,r1,r4,20
264,h,52,r4,r1,r2,r2,r2,r2,r1,r2,r2,r1,r2,r1,r3,r2,1,40,16,44,r3,r2,16
265,h,35,r5,r1,r1,r1,r2,r3,r1,r1,r1,r1,r2,r1,r2,r2,1,40,10,45,r1,r4,10
266,,,,,,,,,,,,,,,,,,,,,,,
267,h,49,r3,r1,r2,r1,r1,r2,r2,r1,r1,r1,r2,r3,r3,r2,1,60,36,45,r3,r1,36
268,d,43,r4,r1,r4,r4,r3,r1,r1,r3,r3,r1,r2,r3,r3,r2,1,50,26,45,r2,r3,26
269,d,48,r4,r1,r2,r2,r3,r3,r1,r1,r3,r3,r2,r3,r3,r3,1,40,16,45,r2,r2,16
270,h,53,r5,r1,r3,r2,r3,r3,r1,r1,r1,r1,r2,r3,r3,r2,1,30,10,45,r3,r2,10
271,d,34,r6,r3,r1,r2,r4,r2,r3,r1,r1,r3,r2,r3,r3,r3,1,20,12,45,r3,r3,12
272,h,47,r2,r1,r3,r1,r1,r3,r1,r1,r1,r1,r2,r3,r3,r2,1,40,10,46,r2,r3,10
273,h,39,r5,r1,r2,r4,r4,r1,r3,r1,r1,r3,r2,r1,r3,r2,1,40,14,46,r2,r1,14
274,d,47,r6,r1,r1,r3,r2,r2,r3,r2,r1,r3,r2,r1,r3,r2,1,40,8,46,r1,r2,8
275,h,14,r2,r3,r1,r2,r3,r2,r1,r1,r1,r1,r2,r3,r3,r1,1,40,26,46,r2,r2,26
276,h,35,r6,r3,r1,r2,r2,r2,r1,r1,r2,r1,r2,r3,r3,r2,1,40,26,46,r3,r2,26
277,d,35,r6,r3,r1,r2,r3,r3,r1,r2,r1,r2,r2,r3,r3,r2,1,40,30,46,r1,r3,30
278,d,33,r6,r3,r1,r4,r2,r2,r1,r1,r1,r3,r2,r1,r3,r3,1,40,18,47,r1,r2,18
279,h,36,r6,r3,r1,r2,r3,r1,r1,r1,r1,r2,r2,r3,r3,r2,1,40,20,47,r4,r1,20
280,h,39,r5,r1,r2,r1,r3,r3,r2,r2,r1,r2,r2,r1,r3,r2,1,40,18,47,r1,r1,18
281,h,41,r6,r1,r1,r2,r1,r1,r2,r2,r1,r1,r2,r3,r3,r2,1,40,24,47,r2,r3,24
282,h,50,r5,r1,r2,r2,r3,r4,r3,r1,r1,r1,r2,r1,r3,r2,1,40,10,47,r1,r3,10
283,d,60,r6,r1,r2,r2,r3,r3,r3,r1,r1,r1,r2,r3,r3,r2,1,40,20,47,r1,r4,20
284,d,30,r6,r1,r1,r2,r1,r2,r3,r1,r2,r1,r2,r4,r3,r3,1,40,22,48,r3,r3,22
285,d,30,r6,r1,r1,r2,r2,r3,r1,r1,r1,r1,r2,r1,r3,r2,1,40,20,48,r1,r3,20
286,d,30,r6,r1,r2,r2,r3,r2,r1,r1,r2,r1,r2,r3,r3,r2,1,40,18,48,r1,r2,18
287,h,31,r6,r1,r2,r2,r4,r4,r1,r1,r3,r1,r2,r3,r3,r2,1,40,18,48,r2,r4,18
288,h,30,r6,r1,r2,r1,r2,r3,r1,r1,r1,r3,r2,r3,r3,r2,1,40,26,48,r1,r2,26
289,d,26,r6,r1,r2,r1,r3,r3,r1,r2,r2,r1,r2,r3,r3,r2,1,40,22,49,r1,r4,22
290,d,60,r6,r1,r2,r1,r3,r3,r1,r1,r1,r1,r4,r3,r3,r2,1,40,12,48,r1,r1,12
291,h,28,r3,r1,r2,r2,r2,r2,r1,r2,r2,r2,r2,r4,r3,r2,1,50,20,49,r2,r2,20
292,d,31,r6,r1,r2,r2,r3,r3,r1,r1,r2,r1,r2,r3,r3,r2,1,60,36,49,r1,r2,36
293,h,32,r5,r1,r2,r2,r3,r3,r1,r1,r1,r2,r2,r3,r3,r2,1,30,6,49,r2,r3,6
294,h,27,r4,r1,r2,r2,r3,r3,r3,r1,r1,r2,r2,r1,r3,r2,1,20,0,49,r1,r3,0
295,h,18,r4,r1,r2,r2,r3,r3,r2,r1,r2,r2,r2,r3,r3,r2,1,40,20,50,r1,r4,20
296,h,20,r5,r1,r2,r2,r3,r3,r3,r2,r1,r2,r2,r3,r3,r3,1,40,14,49,r3,r1,14
297,h,20,r6,r1,r3,r1,r3,r3,r2,r1,r1,r3,r2,r3,r3,r2,1,40,14,50,r1,r3,14
298,d,38,r6,r1,r2,r1,r2,r3,r1,r1,r3,r2,r2,r3,r4,r3,1,40,10,50,r2,r2,10
299,d,52,r6,r1,r2,r2,r3,r3,r2,r1,r1,r3,r2,r3,r3,r2,1,40,24,50,r2,r2,24
300,d,38,r5,r1,r3,r2,r3,r3,r1,r1,r1,r1,r2,r1,r3,r2,1,40,16,50,r3,r3,16
301,h,40,r6,r2,r2,r1,r1,r3,r1,r1,r2,r1,r2,r3,r1,r2,1,40,22,50,r2,r3,22
302,d,29,r6,r1,r1,r2,r2,r2,r1,r1,r2,r1,r2,r3,r3,r2,1,50,22,51,r4,r3,22
303,h,26,r6,r1,r1,r2,r2,r2,r1,r1,r1,r1,r2,r1,r3,r2,1,40,12,51,r1,r4,12
304,h,30,r4,r1,r2,r1,r3,r3,r1,r2,r1,r3,r2,r3,r3,r2,1,20,20,51,r1,r4,20
305,d,21,r4,r1,r1,r4,r3,r3,r1,r2,r1,r2,r2,r3,r3,r2,1,40,20,51,r1,r3,20
306,h,24,r6,r1,r1,r2,r3,r3,r2,r1,r2,r1,r2,r3,r4,r2,1,30,20,51,r1,r1,20
307,h,24,r6,r1,r1,r1,r2,r2,r1,r1,r2,r2,r2,r3,r3,r2,1,60,24,51,r2,r4,24
308,d,18,r3,r1,r1,r4,r3,r3,r3,r2,r2,r3,r2,r3,r3,r2,1,60,34,52,r4,r3,34
309,h,34,r5,r3,r2,r1,r2,r1,r1,r1,r1,r1,r2,r3,r3,r2,1,50,24,52,r1,r2,24
310,d,14,r3,r1,r2,r2,r4,r2,r3,r2,r3,r1,r4,r4,r3,r2,1,30,12,52,r2,r2,12
311,d,15,r3,r1,r1,r1,r1,r2,r1,r2,r3,r2,r2,r3,r3,r2,1,20,0,52,r3,r2,0
312,h,17,r4,r1,r1,r2,r2,r2,r1,r2,r1,r1,r1,r1,r2,r1,1,40,16,52,r2,r1,16
313,d,36,r6,r3,r1,r2,r2,r2,r1,r2,r2,r1,r2,r3,r3,r2,1,40,28,52,r1,r4,28
314,d,46,r6,r1,r2,r2,r3,r3,r3,r1,r1,r1,r2,r3,r3,r2,1,60,36,53,r2,r4,36
315,h,39,r5,r3,r1,r2,r4,r4,r1,r1,r1,r3,r2,r3,r3,r2,1,30,26,53,r2,r4,26
316,d,44,r6,r1,r1,r1,r3,r3,r3,r2,r1,r2,r2,r3,r3,r2,1,20,0,53,r1,r2,0
317,d,45,r5,r1,r1,r2,r2,r3,r1,r1,r1,r1,r2,r1,r3,r2,1,50,28,53,r1,r4,28
318,h,49,r2,r1,r2,r2,r3,r3,r2,r2,r2,r2,r2,r1,r3,r2,1,40,10,53,r1,r2,10
319,h,12,r2,r1,r1,r1,r2,r1,r1,r1,r2,r1,r2,r3,r3,r3,1,40,14,53,r3,r4,14
320,h,21,r4,r1,r1,r2,r2,r2,r1,r1,r1,r3,r2,r4,r3,r2,1,40,20,54,r1,r4,20
321,h,29,r6,r1,r2,r2,r2,r3,r1,r1,r3,r2,r2,r3,r3,r2,1,40,17,54,r1,r3,17
322,h,36,r6,r3,r1,r2,r2,r2,r1,r1,r2,r1,r2,r3,r3,r2,1,40,25,54,r1,r2,25
323,h,27,r6,r3,r1,r4,r3,r3,r1,r2,r2,r3,r2,r3,r3,r2,1,40,22,54,r2,r4,22
324,h,38,r6,r1,r1,r4,r3,r3,r3,r2,r2,r2,r2,r1,r3,r2,1,40,17,54,r1,r4,17
325,d,32,r3,r1,r2,r1,r2,r2,r2,r2,r2,r3,r2,r3,r3,r2,1,40,18,54,r4,r2,18